№,Модель,Цена,Фото
1,Сотовый телефон Philips Xenium V526 LTE синий,"
18150 сом
",/images/product/27150/27150.jpg
2,Сотовый телефон Samsung Galaxy S22 8/128GB черный,"

 56040 сом
-3%

54290 сом
",/images/product/105293/1649752086_95407900.jpg
3,Сотовый телефон Samsung Galaxy S22 8/128GB белый,"

 56040 сом
-3%

54290 сом
",/images/product/105294/1649752235_95589400.jpg
4,Сотовый телефон Samsung Galaxy S22 8/128GB розовый,"

 56040 сом
-3%

54290 сом
",/images/product/105295/1649753441_00343800.jpg
5,Сотовый телефон Samsung Galaxy S22 8/128GB зеленый,"

 56040 сом
-3%

54290 сом
",/images/product/105296/1649753870_42409800.jpg
6,Сотовый телефон Samsung Galaxy S22 8/128GB серый,"

 56040 сом
-3%

54290 сом
",/images/product/105297/1649754043_99416300.jpg
7,Сотовый телефон Samsung Galaxy S22 8/128GB голубой,"

 56040 сом
-3%

54290 сом
",/images/product/105298/1649754174_37540500.jpg
8,Сотовый телефон Samsung Galaxy S22 8/128GB фиолетовый,"

 56040 сом
-3%

54290 сом
",/images/product/105299/1649754295_98434800.jpg
9,Сотовый телефон Samsung Galaxy S22 8/128GB бежевый,"

 56040 сом
-3%

54290 сом
",/images/product/105300/1649754473_41211500.jpg
10,Сотовый телефон BRAVIS A505 Joy Plus белый,"
7640 сом
",/images/product/40544/40544.jpg
11,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB черный,"
83530 сом
",/images/product/104822/1648319089_75835000.png
12,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB белый,"
83530 сом
",/images/product/104823/1648319267_14637700.png
13,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB фиолетовый,"
83530 сом
",/images/product/104824/1648319379_27545800.png
14,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB зеленый,"
83530 сом
",/images/product/104825/1648319473_69430100.png
15,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB серый,"
83530 сом
",/images/product/104826/1648319584_65168500.png
16,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB красный,"
83530 сом
",/images/product/104827/1648319672_36030400.png
17,Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB голубой,"
83530 сом
",/images/product/104828/1648319758_15378800.png
18,Сотовый телефон ASUS Fonepad Note 6 16Gb черный,"
36960 сом
",/images/product/31395/31395.jpg
19,Сотовый телефон Xiaomi Redmi 10A 3/64GB серый,"
10180 сом
",/images/product/107526/1655262496_92690500.jpg
20,Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий,"
15830 сом
",/images/product/103434/1645002019_77390500.png
21,Сотовый телефон Apple iPhone 13 128GB зеленый,"
65340 сом
",/images/product/105482/1650357323_84906500.png
22,Сотовый телефон Samsung Galaxy A03s 2/32GB черный,"
9920 сом
",/images/product/109066/1658515264_83337500.jpg
23,Сотовый телефон Xiaomi Redmi 9C 4/128GB серый,"
11340 сом
",/images/product/95755/1627654600_03946800.jpg
24,Сотовый телефон Xiaomi Redmi Note 11 6/128GB голубой,"
15830 сом
",/images/product/103435/1645002057_84343700.jpg
25,Сотовый телефон Xiaomi 12 8/256GB голубой,"
51600 сом
",/images/product/105227/1649418971_59438400.jpg
26,Сотовый телефон Apple iPhone 13 256GB зеленый,"
75520 сом
",/images/product/105483/1650357352_25448500.png
27,Сотовый телефон Xiaomi Redmi 10A 2/32GB черный,"
9080 сом
",/images/product/108299/1656851875_65254900.jpg
28,Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белый,"
73960 сом
",/images/product/95756/1627808224_15778300.jpg
29,Сотовый телефон Xiaomi Redmi 10 4/128GB серый,"
13230 сом
",/images/product/97292/1630854310_48805900.jpg
30,Сотовый телефон Xiaomi 12 12/256GB голубой,"
53420 сом
",/images/product/105228/1649419104_93416600.jpg
31,Сотовый телефон Samsung Galaxy A13 4G 4/128GB белый,"
14800 сом
",/images/product/105484/1650357974_27932300.jpg
32,Сотовый телефон Xiaomi 11 Lite 5G NE 8/256GB розовый,"
25930 сом
",/images/product/108300/1656853166_94329500.jpg
33,Сотовый телефон Apple iPhone 12 128GB черный,"
59590 сом
",/images/product/85005/1643526274_78712300.png
34,Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черный,"
73960 сом
",/images/product/95757/1627808275_13416200.jpg
35,Сотовый телефон Xiaomi Redmi 10 4/64GB серый,"

 13140 сом
-7%

12270 сом
",/images/product/97293/1630854442_62443400.jpg
36,Сотовый телефон Samsung Galaxy A13 4G 4/128GB персиковый,"
14800 сом
",/images/product/105485/1650358086_11066600.jpg
37,Сотовый телефон Xiaomi 11 Lite 5G NE 8/256GB белый,"
25930 сом
",/images/product/108301/1656853256_38173800.jpg
38,Сотовый телефон Xiaomi 12 8/128GB голубой,"
49850 сом
",/images/product/109069/1658516170_32562000.jpg
39,Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота,"
19750 сом
",/images/product/90126/1615978865_73950300.jpg
40,Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовый,"
73960 сом
",/images/product/95758/1627808340_15191000.jpg
41,Сотовый телефон Xiaomi Redmi 10 4/64GB синий,"
13060 сом
",/images/product/97294/1630854577_55077100.jpg
42,Сотовый телефон Samsung Galaxy A13 4G 4/128GB голубой,"
14800 сом
",/images/product/105486/1650358323_75303600.jpg
